Sophia Nahli Allison
Ayo Akingbade
Madeline Anderson
Maya Angelou
Amma Asante
Sam Bailey
Neema Barnette
Angela Bassett
Patricia Benoit
Nuotama Frances Bodomo
Bridget Botchway
Janicza Bravo
Lyric R. Cabral
Kathleen Collins
DeMane Davis
Julie Dash
Ava DuVernay
Cheryl Dunye
Destiny Ekaragha
Cecile Emeke
Akwaeke Emezi
IQUO ESSIEN
Safi Faye
Amandine Gay
Cierra Glaudé
Ja'Tovia Gary
Tourmaline
Tanya Hamilton
dream hampton
Sanaa Hamri
Leslie Harris
SIHLE HLOPHE
Zora Neale Hurston
Nailah Jefferson
Marquette Jones
Wanuri Kahiu
Regina King
Sharon Lewis
Kasi Lemmons
Shola Lynch
Victoria Mahoney
Tina Mabry
Runyararo Mapfumo
Darnell Martin
NG'ENDO MUKII
Nijla Mu'min
Bree Newsome
Jenn Nkiru
Nefertite Nguvu
Lupita Nyong'o
Rungano Nyoni
Tchaiko Omawale
Akosua Adoma Owusu
Euzhan Palcy
Kiandra Parks
Chanelle Aponte Pearson
Numa Perrier
Tayarisha Poe
Gina Prince-Bythewood
Dee Rees
Angela Robinson
STEFANI SAINTONGE
Lacey Schwartz
Millicent Shelton
Palesa Shongwe
Gabourey Sidibe
Cauleen Smith
Tasha Smith
Sosena Solomon
Amandla Stenberg
Nzingha Stewart
Christine Swanson
Christine Turner
Dana Verde
Dana Washington
Yvonne Welbon
Saaret Yoseph
