id,title,release_date,budget,revenue,actor/actress,genres,belongs_to_collection,runtime
486131,Shaft,2019-06-14,30000000,21360215,Samuel Jackson,"['Action', 'Crime', 'Comedy']",True,111
390043,The Hitman's Bodyguard,2017-08-16,30000000,176586701,Samuel Jackson,"['Action', 'Comedy']",True,118
207703,Kingsman: The Secret Service,2014-12-13,81000000,414351546,Samuel Jackson,"['Crime', 'Comedy', 'Action', 'Adventure']",True,129
27581,The Other Guys,2010-08-06,100000000,170432927,Samuel Jackson,"['Action', 'Comedy', 'Crime']",False,107
9602,Coming to America,1988-06-29,39000000,288752301,Samuel Jackson,"['Comedy', 'Romance']",False,116
184,Jackie Brown,1997-12-24,12000000,39673162,Samuel Jackson,"['Crime', 'Thriller', 'Drama', 'Comedy']",False,154
248574,Barely Lethal,2015-04-30,0,6075,Samuel Jackson,"['Adventure', 'Comedy', 'Action']",False,96
9644,National Lampoon's Loaded Weapon 1,1993-02-04,0,0,Samuel Jackson,"['Comedy', 'Crime', 'Action']",False,84
8285,The Spirit,2008-12-25,60000000,39031337,Samuel Jackson,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']",False,103
133931,Zambezia,2012-06-05,20000000,0,Samuel Jackson,"['Comedy', 'Animation', 'Adventure', 'Family']",False,83
1389,Out of Sight,1998-06-26,48000000,77745568,Samuel Jackson,"['Romance', 'Comedy', 'Crime']",False,123
1613,The 51st State,2001-12-07,28,14,Samuel Jackson,"['Thriller', 'Action', 'Comedy', 'Crime']",False,93
423949,Unicorn Store,2017-09-11,0,0,Samuel Jackson,"['Fantasy', 'Drama', 'Comedy']",False,92
340275,Chi-Raq,2015-12-04,0,0,Samuel Jackson,"['Music', 'Drama', 'Crime', 'Comedy']",False,127
9074,The Man,2005-09-08,0,12382362,Samuel Jackson,"['Action', 'Comedy', 'Crime']",False,83
41823,Mo' Better Blues,1990-08-03,10000000,16153593,Samuel Jackson,"['Drama', 'Romance', 'Music', 'Comedy']",False,129
20759,The Great White Hype,1996-05-03,0,0,Samuel Jackson,"['Comedy', 'Drama']",False,91
31000,Amos & Andrew,1993-03-05,0,0,Samuel Jackson,"['Action', 'Comedy']",False,96
17159,Eddie Murphy Raw,1987-11-25,0,50504655,Samuel Jackson,['Comedy'],False,90
27845,Trees Lounge,1996-05-11,1300000,0,Samuel Jackson,"['Comedy', 'Drama']",False,95
225565,That Awkward Moment,2014-01-29,8000000,26049082,Michael B Jordan,"['Comedy', 'Romance']",False,94
20857,Hardball,2001-09-14,32000000,40222729,Michael B Jordan,"['Comedy', 'Romance']",False,106
920,Cars,2006-06-08,120000000,461983149,Tom Hanks,"['Animation', 'Adventure', 'Comedy', 'Family']",True,117
301528,Toy Story 4,2019-06-19,175000000,519802847,Tom Hanks,"['Adventure', 'Animation', 'Comedy', 'Family']",True,100
13,Forrest Gump,1994-07-06,55000000,677945399,Tom Hanks,"['Comedy', 'Drama', 'Romance']",False,142
862,Toy Story,1995-10-30,30000000,373554033,Tom Hanks,"['Animation', 'Comedy', 'Family']",True,81
863,Toy Story 2,1999-10-30,90000000,497366869,Tom Hanks,"['Animation', 'Comedy', 'Family']",True,92
10193,Toy Story 3,2010-06-16,200000000,1066969703,Tom Hanks,"['Animation', 'Family', 'Comedy']",True,103
35,The Simpsons Movie,2007-07-26,75000000,527068851,Tom Hanks,"['Animation', 'Comedy', 'Family']",False,87
