id,title,release_date,budget,revenue,crew_member,genres,belongs_to_collection,runtime
631344,A Love Song for Latasha,,0,0,Sophia Nahli Allison,[],False,19
434769,Tower XYZ,2016-06-30,0,0,Ayo Akingbade,[],False,3
620983,Dear Babylon,2019-08-14,0,0,Ayo Akingbade,[],False,21
501866,Street 66,2018-01-26,0,0,Ayo Akingbade,['Documentary'],False,13
405665,In Ur Eye,2014-12-30,0,0,Ayo Akingbade,['Documentary'],False,2
382561,Integration Report 1,1960-01-01,0,0,Madeline Anderson,['Documentary'],False,20
349003,I Am Somebody,1970-01-01,0,0,Madeline Anderson,['Documentary'],False,28
474732,The Spirit of Cape Verde,1986-01-01,0,0,Madeline Anderson,[],False,
460931,Let the Church Say Amen!,1973-01-01,0,0,Madeline Anderson,[],False,78
388729,A Tribute to Malcolm X,1967-01-01,0,0,Madeline Anderson,['Documentary'],False,13
205601,Belle,2013-09-08,10900000,16505460,Amma Asante,['Drama'],False,105
347026,A United Kingdom,2016-11-25,14000000,13819139,Amma Asante,"['Drama', 'History']",False,111
426618,Where Hands Touch,2018-09-14,0,0,Amma Asante,"['War', 'Drama', 'Romance']",False,122
110282,A Way of Life,2004-11-12,0,0,Amma Asante,[],False,91
629538,The Billion Dollar Spy,,0,0,Amma Asante,[],False,
463173,Couleé-D,2017-06-23,0,0,Sam Bailey,['Music'],False,14
30246,Civil Brand,2003-08-29,500000,243347,Neema Barnette,"['Crime', 'Drama', 'Thriller']",False,95
34786,Super Sweet 16: The Movie,2007-07-07,0,0,Neema Barnette,['TV Movie'],False,86
14593,All You've Got,2006-01-01,0,0,Neema Barnette,"['Comedy', 'Family', 'Drama']",False,95
87822,Woman Thou Art Loosed: On the 7th Day,2012-04-13,0,0,Neema Barnette,['Drama'],False,101
250397,Run for the Dream: The Gail Devers Story,1996-06-16,0,0,Neema Barnette,[],False,99
79274,Sky Captain,1985-01-01,0,0,Neema Barnette,['Drama'],False,65
136006,Spirit Lost,1997-03-24,0,0,Neema Barnette,['Horror'],False,90
259972,Sin and Redemption,1994-03-18,0,0,Neema Barnette,['Drama'],False,96
474733,Better Off Dead.,1993-01-12,0,0,Neema Barnette,[],False,120
446624,Scattered Dreams,1993-12-19,0,0,Neema Barnette,['Drama'],False,93
474562,Different Worlds: An Interracial Love Story,1992-01-01,0,0,Neema Barnette,[],False,
469400,Zora is My Name!,1990-01-01,0,0,Neema Barnette,[],False,90
375866,Harcèlement mortel,1997-01-16,0,0,Neema Barnette,"['Crime', 'Thriller']",False,
266143,Heaven Ain't Hard to Find,2010-04-06,0,0,Neema Barnette,['Family'],False,90
531509,Otherhood,2019-08-13,0,0,Angela Bassett,['Comedy'],False,100
319096,Whitney,2015-01-17,0,0,Angela Bassett,"['Romance', 'Drama', 'Music']",False,90
209802,Subway Stories: Tales from the Underground,1997-07-24,0,0,Patricia Benoit,"['TV Movie', 'Comedy', 'Drama']",False,80
183235,Stones in the Sun,2012-04-05,0,0,Patricia Benoit,[],False,95
428585,Lemon,2017-01-22,0,29258,Janicza Bravo,"['Drama', 'Comedy']",False,90
196255,Gregory Go Boom,2013-05-22,0,0,Janicza Bravo,['Comedy'],False,18
539565,Zola,,0,0,Janicza Bravo,['Drama'],False,
388248,Woman in Deep,2016-03-17,0,0,Janicza Bravo,['Drama'],False,15
205818,Eat,2011-03-12,0,0,Janicza Bravo,['Drama'],False,15
545727,The Invisible Dog,2005-03-28,0,0,Janicza Bravo,[],False,20
277673,Pauline Alone,2014-06-19,0,0,Janicza Bravo,['Comedy'],False,13
421706,Man Rots from the Head,2016-08-10,0,0,Janicza Bravo,['Comedy'],False,16
318972,(T)ERROR,2015-01-24,0,0,Lyric R. Cabral,"['Thriller', 'Documentary']",False,93
277606,Out in the Night,2014-06-12,0,0,Lyric R. Cabral,['Documentary'],False,75
573710,The Rashomon Effect,,0,0,Lyric R. Cabral,['Documentary'],False,
273896,Losing Ground,1982-01-02,0,0,Kathleen Collins,"['Drama', 'Comedy']",False,86
398027,The Cruz Brothers and Miss Malloy,1980-10-01,5000,0,Kathleen Collins,['Drama'],False,49
474744,Gouldtown: A Mulatto Settlement,1988-01-01,0,0,Kathleen Collins,[],False,
460927,Statues Hardly Ever Smile,1971-01-01,0,0,Kathleen Collins,['Documentary'],False,21
91264,Lift,2001-01-20,0,0,DeMane Davis,"['Drama', 'Crime']",False,85
125018,Black & White & Red All Over,1997-03-28,0,0,DeMane Davis,[],False,97
68427,Daughters of the Dust,1991-09-10,800000,0,Julie Dash,"['Drama', 'Romance']",False,112
221493,Love Song,2000-12-01,0,0,Julie Dash,"['Romance', 'Drama']",False,90
209802,Subway Stories: Tales from the Underground,1997-07-24,0,0,Julie Dash,"['TV Movie', 'Comedy', 'Drama']",False,80
162660,Illusions,1982-01-01,0,0,Julie Dash,['Drama'],False,34
49635,The Rosa Parks Story,2002-02-24,0,0,Julie Dash,['Drama'],False,97
272642,Funny Valentines,1999-02-14,0,0,Julie Dash,[],False,108
338914,Diary of an African Nun,1977-01-01,0,0,Julie Dash,[],False,13
334750,Four Women,1975-01-01,0,0,Julie Dash,['Drama'],False,7
395055,Praise House,1991-01-01,0,0,Julie Dash,"['Drama', 'Music', 'History']",False,25
605769,Travel Notes of a Geechee Girl,2017-12-04,0,0,Julie Dash,[],False,
588254,Relatives,1989-01-01,0,0,Julie Dash,[],False,8
439955,Standing at the Scratch Line,2016-08-06,0,0,Julie Dash,[],False,10
395048,Incognito,1999-09-17,0,0,Julie Dash,"['Drama', 'Thriller', 'TV Movie']",False,100
407451,A Wrinkle in Time,2018-03-08,103000000,132675864,Ava DuVernay,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",False,109
407806,13th,2016-10-07,0,0,Ava DuVernay,['Documentary'],False,100
273895,Selma,2014-12-25,20000000,66787908,Ava DuVernay,"['History', 'Drama']",False,127
83588,Middle of Nowhere,2012-01-20,2000000,2368060,Ava DuVernay,['Drama'],False,101
72946,I Will Follow,2010-09-18,0,0,Ava DuVernay,"['Drama', 'Romance']",False,76
552691,Untitled Lupita Nyong'o/Rihanna Project,,0,0,Ava DuVernay,['Crime'],False,
500239,August 28: A Day in the Life of a People,2017-08-26,0,0,Ava DuVernay,"['History', 'Documentary']",False,120
315532,My Mic Sounds Nice: A Truth About Women and Hip-Hop,2010-08-30,0,0,Ava DuVernay,"['Music', 'Documentary']",False,43
97399,This Is the Life,2008-02-08,0,0,Ava DuVernay,"['Documentary', 'Music']",False,97
507263,Black America Again,2016-10-21,0,0,Ava DuVernay,[],False,22
512021,The New Gods,,0,0,Ava DuVernay,"['Science Fiction', 'Action']",False,
214847,Say Yes,2013-08-14,0,0,Ava DuVernay,['Romance'],False,8
158993,99%: The Occupy Wall Street Collaborative Film,2013-09-06,0,0,Ava DuVernay,['Documentary'],False,92
385703,Compton in C Minor,2009-01-01,0,0,Ava DuVernay,['Documentary'],False,
328978,Venus VS.,2013-07-02,0,0,Ava DuVernay,['Documentary'],False,60
300909,The Door,2013-07-02,0,0,Ava DuVernay,['Romance'],False,9
26710,My Baby's Daddy,2004-01-09,0,51,Cheryl Dunye,['Comedy'],False,86
368972,Greetings from Africa,1996-07-19,0,0,Cheryl Dunye,"['Comedy', 'Documentary']",False,8
44479,The Watermelon Woman,1996-09-07,0,0,Cheryl Dunye,"['Drama', 'Comedy', 'Romance']",False,90
43671,Stranger Inside,2001-06-23,0,0,Cheryl Dunye,"['Crime', 'Drama']",False,97
418803,Vanilla Sex,1992-01-01,0,0,Cheryl Dunye,['Documentary'],False,4
367327,Janine,1990-01-01,0,0,Cheryl Dunye,[],False,9
393313,Truth Be Told,2002-01-01,0,0,Cheryl Dunye,['Drama'],False,83
275968,Mommy Is Coming,2012-03-08,0,0,Cheryl Dunye,[],False,64
579869,DiAna's Hair Ego Remix,2017-12-01,0,0,Cheryl Dunye,['Documentary'],False,9
510365,Brother From Another Time,2014-11-09,0,0,Cheryl Dunye,[],False,6
433271,An Untitled Portrait,1993-01-04,0,0,Cheryl Dunye,[],False,3
433270,The Potluck and the Passion,1993-01-04,0,0,Cheryl Dunye,[],False,23
370043,She Don't Fade,1991-01-01,0,0,Cheryl Dunye,[],False,24
315242,Black Is Blue,2014-06-20,0,0,Cheryl Dunye,[],False,21
253157,Valencia,2013-06-22,0,0,Cheryl Dunye,[],False,105
44288,The Owls,2010-01-01,0,0,Cheryl Dunye,['Drama'],False,66
225283,Gone Too Far!,2014-10-10,0,0,Destiny Ekaragha,['Comedy'],False,87
550610,Mumatar,2018-04-20,0,0,Destiny Ekaragha,['Comedy'],False,10
357183,Danny & the Human Zoo,2015-08-31,0,0,Destiny Ekaragha,[],False,90
93905,Tight Jeans,2008-10-14,0,0,Destiny Ekaragha,"['Drama', 'Comedy']",False,8
550620,Chance Meeting,2013-10-08,0,0,Destiny Ekaragha,['Romance'],False,7
550608,The Future WAGs of Great Britain,2010-08-19,0,0,Destiny Ekaragha,['Drama'],False,24
550603,A Bloody Muddle,2011-01-01,0,0,Destiny Ekaragha,"['Comedy', 'Drama']",False,5
324520,The Park,2009-01-01,0,0,Destiny Ekaragha,[],False,17
473765,The Ancestors Came,2017-10-10,0,0,Cecile Emeke,[],False,6
375490,Strolling,2015-01-02,0,0,Cecile Emeke,[],False,
327381,Ackee & Saltfish,2015-02-08,0,0,Cecile Emeke,['Drama'],False,17
477336,Break Fruit,2015-01-01,0,0,Akwaeke Emezi,[],False,10
477476,Blesi,2014-01-01,0,0,Akwaeke Emezi,[],False,2
477477,Hey Celestial,2014-01-01,0,0,Akwaeke Emezi,[],False,1
578332,Les âmes au soleil,1981-01-02,0,0,Safi Faye,[],False,27
545860,Man Sa Yay,,0,0,Safi Faye,[],False,
540718,Tesito,1989-07-21,0,0,Safi Faye,['Documentary'],False,30
540706,Selbe: One Among Many,1983-05-22,0,0,Safi Faye,['Documentary'],False,30
523503,La passante,1972-01-01,0,0,Safi Faye,[],False,
271726,Fad'jal,1979-01-02,0,0,Safi Faye,[],False,112
434692,Speak Up,2017-10-11,0,0,Amandine Gay,['Documentary'],False,122
617099,The Giverny Document (Single Channel),2019-08-10,0,0,Ja'Tovia Gary,[],False,40
374332,Cakes Da Killa: No Homo,2015-12-22,0,0,Ja'Tovia Gary,"['Documentary', 'Music']",False,13
569975,Giverny I (Négresse Impériale),2017-01-01,0,0,Ja'Tovia Gary,[],False,6
422850,An Ecstatic Experience,2015-01-01,0,0,Ja'Tovia Gary,[],False,6
612835,Salacia,2019-07-03,0,0,Tourmaline,[],False,
495233,The Personal Things,2016-11-19,0,0,Tourmaline,[],False,3
495226,Atlantic is a Sea of Bones,2017-12-03,0,0,Tourmaline,[],False,8
369403,"Happy Birthday, Marsha!",2018-03-10,0,0,Tourmaline,['Drama'],False,14
48833,Night Catches Us,2010-12-03,0,0,Tanya Hamilton,"['Drama', 'Romance']",False,90
520369,It's a Hard Truth Ain't It,2018-04-25,0,0,dream hampton,['Documentary'],False,75
46907,Notorious B.I.G.: Bigger Than Life,2007-05-16,0,0,dream hampton,"['Documentary', 'Music']",False,101
138303,The Russian Winter,2012-04-20,0,0,dream hampton,['Documentary'],False,94
84319,An Oversimplification of Her Beauty,2012-01-30,0,0,dream hampton,"['Animation', 'Comedy', 'Drama', 'Romance']",False,95
416259,"A History of The War on Drugs, from Prohibition to Gold Rush",2016-09-15,0,0,dream hampton,['Documentary'],False,4
339365,Treasure: From Tragedy to Trans Justice Mapping a Detroit Story,2015-06-13,0,0,dream hampton,[],False,63
332674,I Am Ali,2002-01-01,0,0,dream hampton,[],False,18
38093,Just Wright,2010-05-14,0,21520719,Sanaa Hamri,"['Comedy', 'Drama', 'Romance']",False,100
15363,Something New,2006-01-29,0,11400000,Sanaa Hamri,"['Comedy', 'Drama', 'Romance']",False,99
10188,The Sisterhood of the Traveling Pants 2,2008-08-06,27000000,44352417,Sanaa Hamri,"['Adventure', 'Comedy', 'Drama', 'Family']",True,117
189204,Lovestruck: The Musical,2013-04-21,0,0,Sanaa Hamri,"['Comedy', 'Fantasy', 'Romance']",False,83
42654,Acceptance,2009-08-22,0,0,Sanaa Hamri,['Comedy'],False,95
124088,Just Another Girl on the I.R.T.,1993-01-01,0,0,Leslie Harris,['Drama'],False,92
17364,Their Eyes Were Watching God,2005-03-06,0,0,Zora Neale Hurston,"['Drama', 'Romance']",False,113
410253,Fieldwork Footage,1928-01-08,0,0,Zora Neale Hurston,['Documentary'],False,7
200196,"Commandment Keeper Church, Beaufort South Carolina, May 1940",1940-03-24,0,0,Zora Neale Hurston,[],False,42
577437,Ethnographic Films,1929-01-01,0,0,Zora Neale Hurston,['Documentary'],False,12
510885,Plaquemines,2016-10-14,0,0,Nailah Jefferson,['Drama'],False,28
266689,Vanishing Pearls: The Oystermen of Pointe à la Hache,2014-04-18,0,0,Nailah Jefferson,"['Documentary', 'History']",False,80
414394,Forgiving Chris Brown,2016-09-26,10000,0,Marquette Jones,['Comedy'],False,12
45167,Pumzi,2009-10-20,35000,0,Wanuri Kahiu,"['Science Fiction', 'Drama']",False,21
501875,Who Am I?,2016-11-01,0,0,Wanuri Kahiu,[],False,30
351480,From a Whisper,2008-09-12,0,0,Wanuri Kahiu,['Drama'],False,79
386163,Let the Church Say Amen,2013-08-29,0,0,Regina King,"['Drama', 'Family']",False,82
501098,Brown Girl Begins,2018-08-17,0,0,Sharon Lewis,"['Science Fiction', 'Fantasy']",False,70
431101,Chains,2009-02-01,0,0,Sharon Lewis,['Science Fiction'],False,10
6535,Talk to Me,2007-07-13,0,4778376,Kasi Lemmons,['Drama'],False,118
506528,Harriet,2019-11-01,0,0,Kasi Lemmons,"['History', 'Drama']",False,125
45153,Eve's Bayou,1997-09-07,0,0,Kasi Lemmons,['Drama'],False,109
25208,The Caveman's Valentine,2001-01-19,0,0,Kasi Lemmons,"['Drama', 'Mystery', 'Thriller']",False,105
175541,Black Nativity,2013-11-27,17500000,7018189,Kasi Lemmons,"['Drama', 'Music']",False,93
114476,Dr. Hugo,1998-01-01,0,0,Kasi Lemmons,[],False,19
121983,Free Angela and All Political Prisoners,2012-09-09,0,0,Shola Lynch,['Documentary'],False,101
298414,We the Economy: 20 Short Films You Can't Afford to Miss,2014-10-21,0,0,Shola Lynch,[],False,
89585,Chisholm '72: Unbought & Unbossed,2004-01-14,0,0,Shola Lynch,['Documentary'],False,75
328994,Runner,2013-08-13,0,0,Shola Lynch,['Documentary'],False,60
150065,Yelling To The Sky,2011-03-11,0,0,Victoria Mahoney,['Drama'],False,94
471152,Searching,2013-11-12,0,0,Victoria Mahoney,['Drama'],False,3
10520,Itty Bitty Titty Committee,2007-02-09,1000000,18479,Tina Mabry,['Comedy'],False,87
193309,Mississippi Damned,2009-01-16,0,0,Tina Mabry,['Drama'],False,120
421852,An American Girl Story - Melody 1963: Love Has to Win,2016-10-21,0,0,Tina Mabry,['Family'],True,48
631928,Dawn in the Dark,2019-10-04,0,0,Runyararo Mapfumo,['Drama'],False,16
485063,Masterpiece,,0,0,Runyararo Mapfumo,[],False,6
14299,Cadillac Records,2008-12-05,12000000,8880045,Darnell Martin,"['Drama', 'History', 'Music']",False,109
17364,Their Eyes Were Watching God,2005-03-06,0,0,Darnell Martin,"['Drama', 'Romance']",False,113
61348,The Lost Valentine,2011-01-30,0,0,Darnell Martin,"['TV Movie', 'Romance', 'Drama']",False,100
327749,Wish You Well,2013-10-19,0,0,Darnell Martin,"['Family', 'Drama']",False,100
103665,Firelight,2012-04-22,0,0,Darnell Martin,"['Drama', 'TV Movie']",False,97
