id,title,release_date,budget,revenue,actor/actress,genres,belongs_to_collection,runtime
284054,Black Panther,2018-02-13,200000000,1346739107,"['Angela Bassett', ""Lupita Nyong'o"", 'Letitia Wright', 'Chadwick Boseman', 'Michael B Jordan']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",True,134
505642,Black Panther II,2022-05-05,0,0,"['Angela Bassett', ""Lupita Nyong'o"", 'Letitia Wright', 'Chadwick Boseman']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",True,
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,"['Robert Downey Jr', 'Tom Holland', 'Samuel L Jackson', 'Tom Hiddleston', 'Chris Hemsworth', 'Chadwick Boseman']","['Adventure', 'Action', 'Science Fiction']",True,149
299534,Avengers: Endgame,2019-04-24,356000000,2797800564,"['Robert Downey Jr', 'Tom Holland', 'Samuel L Jackson', 'Tom Hiddleston', 'Chris Hemsworth', 'Chadwick Boseman']","['Adventure', 'Science Fiction', 'Action']",True,181
315635,Spider-Man: Homecoming,2017-07-05,175000000,880166924,"['Robert Downey Jr', 'Tom Holland']","['Action', 'Adventure', 'Science Fiction', 'Drama']",True,133
271110,Captain America: Civil War,2016-04-27,240000000,1153304495,"['Robert Downey Jr', 'Tom Holland', 'Chadwick Boseman']","['Adventure', 'Action', 'Science Fiction']",True,147
448119,Dolittle,2020-01-08,175000000,0,"['Robert Downey Jr', 'Tom Holland']","['Family', 'Comedy', 'Fantasy']",False,
626329,A Fan's Guide to Spider-Man: Homecoming,2017-06-03,0,0,"['Robert Downey Jr', 'Tom Holland']",['Documentary'],False,22
24428,The Avengers,2012-04-25,220000000,1519557910,"['Samuel L Jackson', 'Tom Hiddleston', 'Chris Hemsworth']","['Science Fiction', 'Action', 'Adventure']",True,143
10195,Thor,2011-04-21,150000000,449326618,"['Samuel L Jackson', 'Tom Hiddleston', 'Chris Hemsworth']","['Adventure', 'Fantasy', 'Action']",True,115
293167,Kong: Skull Island,2017-03-08,185000000,566652812,"['Samuel L Jackson', 'Tom Hiddleston']","['Action', 'Adventure', 'Fantasy']",False,118
259910,Marvel Studios: Assembling a Universe,2014-03-18,0,0,"['Samuel L Jackson', 'Tom Hiddleston']","['TV Movie', 'Documentary']",False,43
595642,Creating a King: Summoning a God,2017-07-18,0,0,"['Samuel L Jackson', 'Tom Hiddleston']",['Documentary'],False,13
284053,Thor: Ragnarok,2017-10-25,180000000,853977126,['Chris Hemsworth'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",True,131
479455,Men in Black: International,2019-06-12,110000000,252608480,['Chris Hemsworth'],"['Comedy', 'Science Fiction']",True,115
76338,Thor: The Dark World,2013-10-29,170000000,644571402,['Chris Hemsworth'],"['Action', 'Adventure', 'Fantasy']",True,112
99861,Avengers: Age of Ultron,2015-04-22,280000000,1405403694,['Chris Hemsworth'],"['Action', 'Adventure', 'Science Fiction']",True,141
284052,Doctor Strange,2016-10-25,165000000,677700000,['Chris Hemsworth'],"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",True,115
290595,The Huntsman: Winter's War,2016-04-06,115000000,164602163,['Chris Hemsworth'],"['Action', 'Adventure', 'Drama']",True,114
58595,Snow White and the Huntsman,2012-05-30,170000000,396600000,['Chris Hemsworth'],"['Adventure', 'Fantasy', 'Drama']",True,127
43074,Ghostbusters,2016-07-14,144000000,229147509,['Chris Hemsworth'],"['Action', 'Fantasy', 'Comedy']",False,116
201088,Blackhat,2015-01-13,70000000,17752940,['Chris Hemsworth'],"['Crime', 'Thriller', 'Action']",False,133
13475,Star Trek,2009-05-06,150000000,385680446,['Chris Hemsworth'],"['Science Fiction', 'Action', 'Adventure']",True,127
429351,12 Strong,2018-01-16,35000000,67131266,['Chris Hemsworth'],"['Drama', 'Action', 'History', 'War']",False,130
54138,Star Trek Into Darkness,2013-05-05,190000000,467365246,['Chris Hemsworth'],"['Action', 'Adventure', 'Science Fiction']",True,132
22970,The Cabin in the Woods,2012-04-12,30000000,70742948,['Chris Hemsworth'],"['Horror', 'Comedy', 'Thriller']",False,95
446021,Bad Times at the El Royale,2018-10-04,32000000,31882724,['Chris Hemsworth'],['Thriller'],False,142
96721,Rush,2013-09-02,38000000,90247624,['Chris Hemsworth'],"['Drama', 'Action']",False,123
205775,In the Heart of the Sea,2015-11-20,100000000,93820758,['Chris Hemsworth'],"['Thriller', 'Drama', 'Adventure', 'Action', 'History']",False,122
535292,21 Bridges,2019-10-24,33000000,0,['Chadwick Boseman'],"['Crime', 'Action', 'Thriller', 'Drama']",False,99
205584,Gods of Egypt,2016-02-25,140000000,150680864,['Chadwick Boseman'],"['Action', 'Adventure', 'Fantasy']",False,127
239566,Get on Up,2014-08-01,0,31911598,['Chadwick Boseman'],"['Drama', 'Music']",False,139
392982,Marshall,2017-10-13,12000000,10051659,['Chadwick Boseman'],['Drama'],False,118
200505,Draft Day,2014-04-11,25000000,28831145,['Chadwick Boseman'],['Drama'],False,109
301355,Message from the King,2017-05-10,10000000,0,['Chadwick Boseman'],['Thriller'],False,102
109410,42,2013-04-12,40000000,95020213,['Chadwick Boseman'],['Drama'],False,128
14325,The Express,2008-10-10,40000000,9793496,['Chadwick Boseman'],['Drama'],False,130
100540,The Kill Hole,2012-08-28,300000,0,['Chadwick Boseman'],['Action'],False,91
341747,9 Kisses,2014-12-11,0,0,['Chadwick Boseman'],['Romance'],False,9
625706,CI-34,,0,0,['Chadwick Boseman'],"['Drama', 'Crime', 'History', 'Thriller']",False,
581859,Da 5 Bloods,,0,0,['Chadwick Boseman'],['Drama'],False,
615667,Ma Rainey's Black Bottom,,0,0,['Chadwick Boseman'],"['Drama', 'Music']",False,
600910,Yasuke,,0,0,['Chadwick Boseman'],['Drama'],False,
